athlete_id,games,year,season,city,sport,event,medal
7115,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
7116,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",NA
7116,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",NA
7116,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",NA
7116,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",NA
7116,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
7117,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,NA
7117,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,NA
7117,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,NA
7118,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,NA
7119,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Super-Heavyweight,Gold
7120,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Pole Vault,NA
7120,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Pole Vault,NA
7121,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,NA
7121,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around,NA
7121,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,NA
7121,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Horse Vault,NA
7121,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,NA
7121,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam,NA
7122,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",NA
7123,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Middleweight,NA
7124,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 20 kilometres Walk,NA
7125,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,NA
7125,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Pole Vault,NA
7126,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Flyweight,NA
7126,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Flyweight,Bronze
7127,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
7128,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,NA
7128,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,NA
7129,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
7130,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Quadruple Sculls,Bronze
