athlete_id,games,year,season,city,sport,event,medal
7219,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 10,000 metres",NA
7219,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,NA
7219,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,Gold
7219,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,NA
7220,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,NA
7220,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",NA
7220,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,NA
7221,1988 Summer,1988,Summer,Seoul,Shooting,Shooting Mixed Trap,NA
7222,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,Gold
7223,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
7224,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,NA
7224,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,NA
7225,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",NA
7226,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,NA
