id,name,sex,height,weight,team
7772,Leandro Mateus Barbosa,M,194,97,Brazil
7773,Luis Barbosa,M,159,56,Colombia
7774,Neyde Marisa Pina Barbosa,F,175,87,Angola
7775,Vera Lcia Mendes Barbosa,F,168,58,Portugal
7776,Roy Hilton Barbour,M,174,61,Zimbabwe
7777,Grettel de los Angeles Barboza Salazar,F,167,82,Costa Rica
7778,Alexandru George Barbu,M,177,70,Romania
7779,Ion Barbu,M,0,0,Romania
7780,Valentin Barbu,M,165,48,Romania
7781,Virgil Brbuceanu,M,165,70,Romania
7782,Kazimierz Zygfryd Barburski,M,180,77,Poland
7783,Nicolae Brbu,M,187,87,Romania
7784,"Raymond James ""Ray"" Barbuti",M,183,82,United States
7785,Kiril Georgiev Barbutov,M,178,130,Bulgaria
7786,Philippe Barca-Cysique,M,194,88,France
7787,Grazia Barcellona,F,0,0,Italy
7788,Armando Lus Barcellos da Silva,M,181,76,Brazil
7789,David Roberto Brcena Ros,M,173,73,Mexico
7790,Loretta A. Barcenas,F,158,48,Philippines
7791,Otto Eduardovich Barch,M,180,75,Soviet Union
7792,Stephan de Freitas Barcha,M,0,0,Brazil
7793,Francisco Barcia Rodrguez,M,170,68,Spain
7794,Gerard Barcia Duedra,M,0,0,Andorra
7795,Edward Barcik,M,178,72,Poland
7796,Miroslav Bark,M,174,68,Slovakia
7797,Adam Barclay,M,179,98,Australia
7798,"James Barr ""Jim"" Barclay",M,170,0,New Zealand
7799,Kate Barclay,F,166,67,Australia
7800,Silvano Barco,M,170,65,Italy
7801,"Donald Francis ""Don"" Barcombe, Jr.",M,178,90,United States
7802,Mikls Barcza,M,0,0,Hungary
7803,Leigh Francis Barczewski,M,186,84,United States
7804,Henri Louis Bard,M,0,0,France
7805,Arvds Oto Brda,M,0,0,Latvia
7806,Edvns Johans Brda,M,0,0,Latvia
7807,Michal Barda,M,191,80,Czechoslovakia
7808,Rdolfs Brda,M,0,0,Latvia
7809,Georgina Bardach Martin,F,172,63,Argentina
7810,Virginia Bardach Martn,F,174,57,Argentina
7811,Anders Bardal,M,186,60,Norway
7812,Tomas Bardauskas,M,185,70,Lithuania
7813,Alessandro Bardelli,M,0,0,Italy
7814,Brian David Barden,M,180,86,United States
7815,Anne-Lise Bardet,F,169,58,France
7816,Romain Bardet,M,184,64,France
7817,"Edward ""Eddie"" Bardgett",M,179,73,Bermuda
7818,Walter Edward Bardgett,M,0,0,Bermuda
7819,Danio Bardi,M,180,76,Italy
7820,Gyngyi Bardi-Gerevich,F,172,61,Hungary
7821,Mara Angels Bardina Vidal,F,168,60,Spain
7822,Yutta Barding (Ohlson-),F,0,0,Denmark
7823,Ulla Barding-Poulsen,F,0,0,Denmark
7824,Samanta Bardini,F,163,64,Italy
7825,Giovanni Battista Bardis,M,177,85,France
7826,Maurice Charles Adolphe Bardonneau,M,0,0,France
7827,Sndor Istvn Brdosi,M,173,85,Hungary
7828,Karen Louise Bardsley,F,181,69,Great Britain
7829,Jerzy Bardziski,M,0,0,Poland
7830,George Huston Bare,M,180,0,United States
7831,Gregorio Amadeo Bare Rossario,M,180,82,Uruguay
7832,Karim Bare,M,0,0,Niger
7833,Reginald George Bare,M,0,0,Great Britain
7834,Mara del Carmen Barea Cobos,F,164,56,Spain
7835,Fredy Jos Bareiro Gamarra,M,179,77,Paraguay
7836,Mounir Barek,M,174,68,Tunisia
7837,Olesya Ivanovna Barel,F,190,78,Soviet Union
7838,"Robert Alexander ""Rob"" Barel",M,181,75,Netherlands
7839,Mauro Barella,M,178,70,Italy
7840,Marianna Barelli,F,168,57,Italy
7841,Paolo Barelli,M,184,70,Italy
7842,Leonardo Baremboin,M,188,82,Argentina
7843,Alberto Angel Barenghi,M,0,0,Argentina
7844,"Franchino ""Franco"" Baresi",M,0,0,Italy
7845,Hakon Barfod,M,0,0,Pan
7846,Walter Barfu,M,0,0,West Germany-1
7847,"Benjamin Oden ""Ben"" Barger",M,183,73,United States
7848,Mohamed Barguaoui,M,170,58,Tunisia
7849,Warren Barguil,M,184,62,France
7850,Jeremy Gavin Barham,M,181,67,Great Britain
7851,Arne Barhaugen,M,0,0,Norway
7852,Andrea Bari,M,184,80,Italy
7853,Mikhail Mikhaylovich Bariban,M,180,72,Soviet Union
7854,Hrvoje Bari,M,180,77,Yugoslavia
7855,Wilde H. Baridn Ricca,M,0,71,Uruguay
7856,Zakariah Barie,M,174,56,Tanzania
7857,Marcel Baril,M,0,60,France
7858,Liutauras Barila,M,182,70,Lithuania
7859,Paula Barila Bolopa,F,158,60,Equatorial Guinea
7860,"Joseph James ""Joe"" Barile",M,0,0,United States-2
7861,Antonino Barill,M,187,96,Italy
7862,Jos Julio Barillas,M,0,0,Guatemala
7863,Stphane Barin,M,179,75,France
7864,Michal Barinka,M,192,102,Czech Republic
7865,Viktor Barinov,M,183,83,Soviet Union
7866,Yury Viktorovich Barinov,M,173,71,Soviet Union
7867,Tana Barioz,F,164,57,France
7868,Roger Barisien,M,0,0,France
7869,Eugenio Barisoni,M,0,0,Italy
7870,Nicolas Briswyl,M,173,68,Switzerland
7871,Renzo Bariviera,M,200,93,Italy
7872,Vendramino Bariviera,M,178,72,Italy
7873,Valrie Barizza,F,160,46,France
7874,Sonja Barjaktarovi,F,180,74,Montenegro
7875,Salim Barjum Roque,M,152,52,Colombia
7876,Oleksiy Stepanovych Barkalov,M,180,82,Soviet Union
7877,"Olof Vilhelm ""Olle"" Barkander",M,181,72,Sweden
7878,Vitolds Barkns,M,191,86,Soviet Union
7879,Erdal Barkay,M,0,0,Turkey
7880,Charles David Barker,M,175,72,Great Britain
7881,"Clifford Eugene ""Cliff"" Barker",M,188,84,United States
7882,David Boston Barker,M,175,70,Great Britain
7883,Dean Raymond Barker,M,190,90,New Zealand
7884,Elinor Jane Barker,F,168,56,Great Britain
7885,"Ernest Frederick ""Ernie"" Barker",M,0,0,Australia
7886,Ervin Jeremiah Barker,M,0,0,United States
7887,Florence Barker,F,0,0,Great Britain
7888,Harold Ross Barker,M,0,75,Leander Club-2
7889,Henry Barker,M,0,0,Great Britain
7890,Ian Dallas Barker,M,183,76,Great Britain
7891,James Jeffrey Barker,M,0,0,Great Britain
7892,Keith Barker,M,172,64,British Virgin Islands
7893,Natasha Jane Barker,F,153,58,Australia
7894,Nigel Chase Barker,M,0,0,Australia
7895,Peter Barker,M,177,68,British Virgin Islands
7896,Roxanne Kimberly Barker,F,178,76,South Africa
7897,Ursel Barkey,F,0,0,Germany
7898,Mohamed Hossein Barkhah,M,172,77,Iran
7899,Ebrahim Barkhordari,M,170,79,Iran
7900,Ahmed Al-Barki,M,0,81,Morocco
7901,Charles Wade Barkley,M,198,114,United States
7902,"Nathan ""Tan"" Barkley",M,172,51,Canada
7903,Jane Louise Barkman (-Brown),F,169,61,United States
7904,Aleksander Barkov,M,190,91,Finland
7905,Dmitry Barkov,M,0,0,Russia
7906,Leonid Barkovskiy,M,175,75,Soviet Union
7907,Sally Barkow,F,168,82,United States
7908,"Donald Argee ""Don"" Barksdale",M,198,91,United States
7909,Sharrieffa Finninninchirrir Barksdale (-Blair),F,162,54,United States
7910,"Raymond Charles ""Ray"" Barkway",M,0,0,Great Britain
7911,Karl Barl,M,0,0,Austria
7912,"Lazarus ""Lajarus"" Barla",M,175,62,India
7913,Sylvia Johanna Martha Barlag,F,170,60,Netherlands
7914,Magorzata Barlak-Kamasiska,F,160,54,Poland
7915,Bernd Barleben,M,183,79,Germany
7916,Harald Barlie,M,178,83,Norway
7917,Oddvar Barlie,M,176,79,Norway
7918,Vegar Barlie,M,183,73,Norway
7919,Enzo Barlocco,M,179,83,Italy
7920,Valrie Gisele Angele Barlois-Mevel-Leroux,F,165,53,France
7921,"Neil Christopher ""Chris"" Barlow",M,183,84,United States
7922,David Barlow,M,205,97,Australia
7923,Jocelyn Arthur Barlow,M,0,0,Great Britain
7924,Rachel Barlow,F,175,73,South Africa
7925,Vernon William Barlow,M,0,0,Great Britain
7926,Gunnar Richard Bernhard Brlund,M,187,86,Finland
7927,Sulo Richard Brlund,M,186,87,Finland
7928,Bijoy Kumar Barman,M,0,0,India
7929,Bernard Barmasai,M,173,55,Kenya
7930,Dmitry Vladimirovich Barmashov,M,178,78,Kazakhstan
7931,Frigyes Barna,M,0,0,Hungary
7932,Jzsef Barna (-Braun),M,0,0,Hungary
7933,Petr Barna,M,165,65,Czechoslovakia
7934,Jean Barnabe,M,165,62,Congo (Kinshasa)
7935,Daundre Barnaby,M,189,75,Canada
7936,"Arthur ""Art"" Barnard",M,180,77,United States
7937,Elisa Barnard,F,171,57,Australia
7938,Ethel Susan Barnard,M,0,0,Great Britain
7939,"Johannes Hendrikus ""Jan"" Barnard",M,0,0,South Africa
7940,John Louis Barnard,M,0,0,Great Britain
7941,Susan Barnard,F,178,65,Great Britain
7942,Vladimir Mikhaylovich Barnashov,M,178,77,Soviet Union
7943,Ghislaine Brigitte Marie Barnay (-Bambuck),F,176,63,France
7944,Johan Mats Rikard Barne,M,194,102,Sweden
7945,Guy Marcos Barnea,M,179,73,Israel
7946,Tobias Barnerssoi,M,169,70,Germany
7947,"Albert Richard ""Alf"" Barnes",M,163,0,Great Britain
7948,"Beverly Ann ""Bev"" Barnes",F,175,61,Canada
7949,"William E. ""Billy"" Barnes",M,0,0,Ireland
7950,Brian J. Barnes,M,0,0,Great Britain
7951,David Paul Barnes,M,185,82,Australia
7952,Emre Zafer (Winston-) Barnes,M,178,73,Turkey
7953,Ernest Barnes,M,175,75,New Zealand
7954,"Ernest ""Ernie"" Barnes",M,0,0,Great Britain
7955,George Barnes,M,0,0,Great Britain
7956,Harrison Bryce Jordan Barnes,M,203,102,United States
7957,Heinrich Barnes,M,170,66,South Africa
7958,"Velvet James ""Jim"" Barnes",M,201,109,United States
7959,Jo-Anne Barnes,F,161,54,Australia
7960,John Baird Barnes,M,183,72,United States
7961,Jennifer-Kirsten Barnes,F,175,75,Canada
7962,Lanny L. Barnes,F,163,50,United States
7963,"Lee Stratford Barnes, Jr.",M,173,68,United States
7964,"Elizabeth Ann ""Liz"" Barnes (-La Ban)",F,163,54,Great Britain
7965,N'Kosie Barnes,M,179,76,Antigua and Barbuda
7966,"Nicol ""Nicky"" Barnes",M,177,72,Australia
7967,"Patrick Gerard ""Paddy"" Barnes",M,163,49,Ireland
7968,"Eric Randolph ""Randy"" Barnes",M,195,132,United States
7969,William Rolph Barnes,M,0,0,Canada
7970,"Thomas Ray ""Tom"" Barnes",M,188,91,United States-1
7971,Tracey Ann Barnes,F,170,56,Jamaica
7972,Tracy Barnes,F,157,48,United States
7973,Thomas William Barnes,M,0,0,Canada
7974,Leonora Lacy Barnes-Mileham,F,165,70,United States
7975,Nelly Barnet Wilson,F,184,68,Cuba
7976,Christine P. Barnetson (-Morrison),F,0,0,Australia
7977,Allison Elena Barnett,F,170,73,Great Britain
7978,Bryan Barnett,M,183,92,Canada
7979,Edward Willis Barnett,M,0,0,United States
7980,John Thomas Barnett,M,0,0,Australasia
7981,Kevin Rees Barnett,M,198,95,United States
7982,Madeleine Eve Barnett (Bollinger-),F,160,57,Australia
7983,Joseph Melville Barnett,M,0,90,Great Britain
7984,"Michael H. ""Mike"" Barnett",M,186,104,United States
7985,"Reginald Albert ""Reg"" Barnett",M,173,66,Great Britain
7986,Richard Whieldon Barnett,M,0,0,Great Britain
7987,"Steven William ""Steve"" Barnett",M,191,86,United States
7988,Steven John Barnett,M,174,75,Australia
7989,Tarasue Barnett,F,178,81,Jamaica
7990,"Anthony ""Tony"" Barnett",M,198,86,Australia
7991,"Wesley T. ""Wes"" Barnett",M,185,108,United States
7992,Helen Catherine Barnett-Burkart,F,170,62,Great Britain
7993,Tamsin Barnett-Hinchley,F,193,75,Australia
7994,"Eric Richard ""Enrico"" Barney",M,184,75,Argentina
7995,Kleanthis Barngas,M,178,79,Greece
7996,"Troy G. Barnhart, Jr.",M,193,98,United States
7997,Romain Barnier,M,186,84,France
7998,Andrea Barno San Martn,F,175,64,Spain
7999,"Richard ""Ricky"" Barnor",M,172,71,Ghana
8000,Harry Leonard Barnsley,M,0,0,Great Britain
8001,Angela Mary Barnwell (-Kemp),F,0,0,Great Britain
8002,Albert Barodet,M,0,0,France
8003,Lazr Baroga,M,178,88,Romania
8004,Alizee Baron,F,175,64,France
8005,Bengt Baron,M,193,83,Sweden
8006,Emille Raymond Baron,M,189,84,South Africa
8007,"Mietje ""Marie"" Baron (-du Puy)",F,0,0,Netherlands
8008,McQuin Baron,M,206,104,United States
8009,R. G. P. Baron,M,0,0,France
8010,Gerhard Rudolf Viktor Baron von Hessert,M,0,0,Germany-2
8011,Bruno Baronchelli,M,172,68,France
8012,Ciriaco Baronda,M,0,0,Philippines
8013,Barbara Barone de Pokorny,F,0,0,Chile
8014,Carmelo Barone,M,171,67,Italy
8015,Marian Emma Barone (Twining-),F,0,0,United States
8016,Ottavio Barone,M,175,75,Italy
8017,Angela Baroni,F,156,50,Italy
8018,"Giovanni Mario ""Gianmario"" Baroni",M,0,0,Italy
8019,Roberto Baronio,M,180,72,Italy
8020,Alexander Baronjan,M,170,67,Germany
8021,Andrs Baronyi,M,0,0,Hungary
8022,Milan Baro,M,181,77,Czech Republic
8023,Raoul Meir Barouch,M,177,74,Tunisia
8024,Franois Barouh,M,186,80,France
8025,Thomas Gabriel Jrmie Baroukh,M,183,70,France
8026,Georgios Barous,M,0,0,"Lemzos Thorichton ""Psara""-3"
8027,Khasan Makharbekovich Baroyev,M,188,120,Russia
8028,Umberto Barozzi,M,175,75,Italy
8029,Rafael Manuel de Jesus Barquero Chaves,M,0,0,Costa Rica
8030,"Bradley N. ""Brad"" Barquist",M,183,62,United States
8031,"Elizabeth Cynthia ""Beth"" Barr (-Isaak)",F,178,60,United States
8032,Davey Barr,M,178,84,Canada
8033,Jessie Barr,F,175,58,Ireland
8034,Oslen McGregor Barr,M,165,67,Guyana
8035,Peter Barr,M,178,77,Canada
8036,Thomas Barr,M,183,73,Ireland
8037,Jean-Pierre Barra,M,168,58,Belgium
8038,Guy Barrabino,M,170,68,France
8039,Richard William Barraclough,M,176,82,Great Britain
8040,Abdelaziz Barrada,M,180,74,Morocco
8041,Eduardo Barragan,M,160,52,Colombia
8042,Enrique Barragn Mndez,M,172,82,Uruguay
8043,Andr Barrais,M,183,78,France
8044,Nagib Barrak,M,170,69,Lebanon
8045,mile Barral,M,0,0,Monaco
8046,"Joseph ""Joe"" Barral",M,183,75,Monaco
8047,Alicia Barrancos,F,0,0,Argentina
8048,Grard Barras,M,190,80,Switzerland
8049,Romain Barras,M,194,86,France
8050,"Thomas Patrick ""Tom"" Barrasso",M,190,95,United States
8051,Bronte Amelia Arnold Barratt,F,171,59,Australia
8052,Toms Barraza Barraza,M,0,0,Chile
8053,Alexandra Barr (Sandor-),F,173,59,Canada
8054,Denis Barr,M,180,71,Canada
8055,Jean Barr,M,178,71,Canada
8056,Mylanie Barr,F,178,58,Canada
8057,Odile Barre,F,170,64,France
8058,Pascal Barr,M,174,66,France
8059,Patrick Barr,M,172,63,France
8060,Stphane Georges Barr,M,180,68,France
8061,Jacques Barreau,M,0,0,France
8062,ngeles Barreiro Rico,F,173,75,Spain
8063,Ernesto Horacio Barreiros,M,165,65,Argentina
8064,Onn Barreiros Rodrguez,M,177,66,Spain
8065,Hermann Joseph Barrelet,M,0,0,France
8066,scar Barrena Gonzlez,M,177,70,Spain
8067,Hernn Barreneche Ros,M,176,57,Colombia
8068,Alejandro Barrenechea Jayo,M,164,67,Spain
8069,Claudia Barrenechea Troncoso,F,157,50,Chile
8070,Miguel Angel Barrenechea,M,170,74,Mexico
8071,Rafael Barreno Martnez,M,183,120,Venezuela
8072,Joo Eduardo Gamarro Correia Barrento,M,0,0,Portugal
8073,Cesreo Barrera Moya,M,171,71,Spain
8074,Domingo Barrera Corpas,M,165,60,Spain
8075,Humberto Barrera,M,167,51,United States
8076,Karla Barrera,F,164,54,Puerto Rico
8077,Sixto Csar Barrera Ochoa,M,176,74,Peru
8078,Juan Carlos Barreras Benitez,M,0,0,Cuba
8079,Augusto Cassiano Neves de Mascarenhas de Andrade Barreto,M,0,0,Portugal
8080,Carlos Augusto Barreto Hernndez,M,173,54,Venezuela
8081,Diego Daniel Barreto Cceres,M,182,78,Paraguay
8082,dgar Osvaldo Barreto Cceres,M,178,78,Paraguay
8083,Herman Barreto Avellaneda,M,0,0,Venezuela
8084,Marcos Barreto Luis,M,177,63,Mexico
8085,Nuno Miguel Santos Barreto,M,185,75,Portugal
8086,Ysis Lenis Barreto Rodrguez,F,159,63,Venezuela
8087,Alan John Barrett,M,0,0,Great Britain
8088,Brigetta LaShea Barrett,F,183,64,United States
8089,Casey Barrett,M,183,78,Canada
8090,Charles Barrett,M,0,0,Ireland
8091,Christy Barrett (-Cummins),F,157,50,United States
8092,Craig Michael Barrett,M,183,70,New Zealand
8093,Danny Barrett,M,188,102,United States
8094,"Francis ""Francie"" Barrett",M,176,64,Ireland
8095,Frederick Whitfield Barrett,M,0,0,Great Britain
8096,Gerard Barrett,M,174,66,Australia
8097,"Henry Frederick ""Harry"" Barrett",M,0,0,Great Britain
8098,James Barrett,M,0,0,Great Britain
8099,Jeremy Barrett,M,175,75,United States-2
8100,John Barrett,M,200,105,Canada
8101,"Kenneth Allen ""Ken"" Barrett",M,175,68,United States
8102,"Kimberly ""Kim"" Barrett",F,0,79,Jamaica
8103,William Lane Barrett,M,0,0,Canada
8104,"Michael Thomas ""Mike"" Barrett",M,188,73,United States
8105,"Edward ""Ned"" Barrett",M,185,99,London City Police-1
8106,Peter Jones Barrett,M,184,88,United States
8107,Herbert Roper Barrett,M,0,0,Great Britain-1
8108,John Rory Barrett,M,185,110,New Zealand
8109,Rowan Art Barrett,M,195,95,Canada
8110,"Timothy Edward A. ""Tim"" Barrett",M,184,79,Bahamas
8111,W. F. Barrett,M,0,0,Great Britain
8112,Hugo Barrette,M,175,90,Canada
8113,Rafael S. Barretto,M,188,0,Philippines
8114,Francisco Carlos Barretto Jnior,M,175,72,Brazil
8115,Jean Louis Charles Joseph Barrez,M,0,0,France
8116,Robert Gordon Barrie,M,181,73,Australia
8117,Armando Barrientos Schweyer,M,0,0,Cuba
8118,Claudio Barrientos Negrn,M,0,0,Chile
8119,Hernando Juan Barrientos Gmez,M,0,0,Colombia
8120,Isaac Barrientos Flores,M,190,108,Puerto Rico
8121,Jos Eduardo Barrientos Schweyer,M,181,70,Cuba
8122,Marcelo Barrientos Cardenas,M,173,60,Chile
8123,Adrien Antonin Barrier,M,0,0,France
8124,"James Marvin ""Jim"" Barrier",M,0,0,United States
8125,Mark Anthony Barriga,M,157,48,Philippines
8126,Armando Barriguete,M,170,0,Mexico
8127,"James Archibald Barrineau, Jr.",M,190,70,United States
8128,"Jennifer Mae ""Jenny"" Barringer-Simpson",F,166,53,United States
8129,Reto Barrington,M,170,65,Canada
8130,John Craig Barrington-Ward,M,0,0,Sabre
8131,Sonia Barrio Gutirrez,F,164,56,Spain
8132,Luis Bruno Barrionuevo,M,190,72,Argentina
8133,Mara Noel Barrionuevo,F,171,58,Argentina
8134,Arturo Barrios Flores,M,174,60,Mexico
8135,Jos Antonio Barrios Olivero,M,172,68,Spain
8136,Juan Luis Barrios Nieves,M,173,65,Mexico
8137,Pablo Jos Barrios Linares,M,178,72,Venezuela
8138,Tala Barrios,F,168,53,Peru
8139,Wilmar Enrique Barrios Tern,M,179,70,Colombia
8140,Yarelis Barrios Castaeda,F,172,89,Cuba
8141,Toms Barris Ballestn,M,171,67,Spain
8142,Juan Pablo Barro Ordovas,M,172,74,Spain
8143,Gonzalo Barroilhet Costabal,M,194,94,Chile
8144,"Andrew James ""Andy"" Barron",M,170,67,Canada
8145,Blanca Luz Barrn Serrano,F,168,50,Mexico
8146,Brett Dewey Barron,M,175,78,United States
8147,Carlos Barron,M,183,69,Mexico
8148,"Harold Earl ""Hal"" Barron",M,183,64,United States
8149,"Peter-James ""PJ"" Barron",M,174,70,Ireland
8150,Scott Barron,M,180,73,Ireland
8151,Trevor Barron,M,191,73,United States
8152,Erick Bernab Barrondo Garca,M,178,60,Guatemala
8153,Ana Patrcia  da Costa Barros,F,173,75,Angola
8154,Ana de Oliveira Barros,F,0,0,Portugal
8155,Ana Lusa Amado Antas de Barros,F,169,69,Portugal
8156,Csar Jorge Barros Luther,M,0,0,Chile
8157,"Laudelino Jos ""Lino"" de Barros",M,182,81,Brazil
8158,Elsa Marisa Branco Barros Rodrigues,F,160,50,Portugal
8159,Milton Lourenco Rosa Barros,M,183,75,Angola
8160,Zoila Barros Fernndez,F,188,72,Cuba
8161,Jaime Jess Barroso Ramrez,M,170,56,Spain
8162,Lus Filipe Palma Barroso,M,170,64,Portugal
8163,Manuel Jos Lopes Pinto Barroso,M,175,65,Portugal
8164,Manuel da Silva Barroso,M,0,0,Portugal
8165,Philippe Barroso,M,0,0,France
8166,Aissam Al-Barroudi,M,0,0,Morocco
8167,Cordell Hull Barrow,M,182,73,Firebird II
8168,"Daniel Hubert ""Dan"" Barrow, Jr.",M,0,0,United States
8169,Rawle Hamilton D. Barrow,M,178,82,Firebird II
8170,Sarah Ellen Barrow,F,162,52,Great Britain
8171,"Michael Ray ""Mike"" Barrowman",M,180,75,United States
8172,"James Michael ""Jim"" Barrows",M,183,86,United States
8173,Thomas Barrows III,M,186,82,United States Virgin Islands
8174,"Jack Leonard ""Jay"" Barrs, Jr.",M,182,70,United States
8175,Luis A. Barrufa Casenave,M,175,77,Uruguay
8176,David Barrufet Bofill,M,197,100,Spain
8177,Esther Barrugus Alvina,F,164,60,Andorra
8178,Aissatou Barry,F,0,0,Guinea
8179,"William ""Bill"" Barry",M,0,0,Ireland
8180,Clifford Barry,M,178,76,Canada
8181,Damion Ian Kenton Barry,M,180,82,Trinidad and Tobago
8182,Djene Barry,F,179,70,Guinea
8183,John Burke Alexander Barry,M,171,0,United States
8184,John Joe Barry,M,176,61,Ireland
8185,Kevin Barry,M,0,0,Ireland
8186,Kevin Michael Joseph Barry,M,187,80,New Zealand
8187,Mamadou Barry,M,178,66,Guinea
8188,Mariama Dalanda Barry,F,0,67,Guinea
8189,Mark A. Barry,M,170,70,Great Britain
8190,Maurice Joseph Barry,M,0,0,United States
8191,Michael Gerard Barry,M,189,72,Canada
8192,"Michael ""Mike"" Barry",M,165,57,Canada
8193,Peter Barry,M,180,78,Canada
8194,Raymond Barry,M,160,57,Australia
8195,Rhona Barry,F,0,0,Ireland
8196,Steeve Barry,M,181,85,France
8197,"Steven John ""Steve"" Barry",M,170,62,Great Britain
8198,Trevor George Barry,M,190,77,Bahamas
8199,William Louis Barry,M,188,85,Great Britain
8200,Florina Maria Brsan-Chintoan,F,178,67,Romania
8201,Kay Irene Barsdell,F,0,0,Great Britain-3
8202,Anahit Barseghyan,F,163,58,Armenia
8203,Hovhannes Barseghyan,M,0,76,Armenia
8204,Mutaz Essa Barshim,M,190,65,Qatar
8205,Kinga Barsi,F,178,70,Hungary
8206,Lszl Barsi,M,176,77,Hungary
8207,Lszl Barsi (Tomaschek-),M,0,0,Hungary
8208,Franz Barsicke,M,164,49,Germany
8209,"Selina ""Sally"" Barsosio",F,165,46,Kenya
8210,Dino Barsotti,M,173,0,Italy
8211,Dmitry Nikolayevich Barsuk,M,193,86,Russia
8212,Tatyana Valeryevna Barsuk,F,170,66,Russia
8213,Yuliya Vladimirovna Barsukova (-Samokhin),F,168,45,Russia
8214,Jacob Jepsen Barse,M,188,73,Denmark
8215,Adrien Bart,M,185,84,France
8216,Robert Bart,M,180,76,France
8217,Alexander Brta,M,0,0,Czechoslovakia
8218,Alexander Barta,M,179,76,Germany
8219,Franz Barta,M,0,0,Austria
8220,Istvn Barta (Berger),M,185,0,Hungary
8221,Jan Brta,M,184,75,Czech Republic
8222,Nra Barta,F,170,60,Hungary
8223,Vladimr Brta,M,183,78,Czechoslovakia
8224,Zdenk Hynek Brta,M,0,0,Bohemia
8225,Lenka Bartkov,F,175,64,Czech Republic
8226,Marie Bartkov,F,170,71,Czechoslovakia
8227,Marcello Bartalini,M,193,90,Italy
8228,Klmn Bartalis,M,0,0,Hungary
8229,Bla Bartalos,M,182,82,Hungary
8230,Caroline Bartasek,F,175,67,Australia
8231,"Jolanta Bartczak (-Maolepszy, -Skrzyszowska)",F,169,57,Poland
8232,ubo Barteko,M,183,86,Slovakia
8233,Tom Bartek,M,192,88,Czechoslovakia
8234,Danka Bartekov,F,170,55,Slovakia
8235,"Corinne ""Cori"" Bartel (-Morris)",F,165,58,Canada
8236,Robin Dale Bartel,M,183,91,Canada
8237,Beatrice Bartelloni,F,165,50,Italy
8238,Ralf Bartels,M,186,128,Germany
8239,Wolfgang Bartels,M,184,82,Germany
8240,"Martina Maria Anna Antonia ""Tineke"" Bartels-de Vries",F,177,64,Netherlands
8241,Konrad Bartelski,M,178,72,Great Britain
8242,"Herbert Otto ""Herb"" Barten",M,178,64,United States
8243,Leonid Volodymyrovych Barteniev,M,174,70,Soviet Union
8244,Luigi Bartesaghi,M,165,60,Canada
8245,Krisztin Brtfai,M,175,78,Hungary
8246,"Carmine R. ""Carmen"" Barth (DiBartolomeo-)",M,175,72,United States
8247,Claudia Barth,F,183,73,Germany
8248,Elke Barth (-Schmitz),F,167,53,West Germany
8249,Friederike Barth (-Sievers),F,177,70,Germany
8250,Heidrun Barth (-Steininger),F,161,47,West Germany
8251,Hugo Barth,M,176,78,Germany
8252,Jrgen Barth,M,166,69,West Germany
8253,Manfred Barth,M,176,62,West Germany
8254,Paul Barth,M,0,0,Switzerland
8255,Paul Barth,M,181,90,West Germany
8256,Philip Barth,M,188,80,Germany
8257,Ren Barth,M,192,98,Switzerland
8258,Thomas Barth,M,174,72,East Germany
8259,Jrgen Ludvig Barth-Jrgensen,M,0,90,Norway
8260,Gyula Bartha,M,186,84,Romania
8261,Iosif Bartha,M,0,0,Romania
8262,Kroly Bartha,M,0,0,Hungary
8263,Lszl Bartha,M,0,0,Hungary
8264,Levente Gabriel Bartha,M,185,80,Romania-2
8265,Magdolna Bartha,F,0,0,Hungary
8266,Barbara Barthel,F,164,63,West Germany
8267,"Josef Henri ""Josy"" Barthel",M,173,68,Luxembourg
8268,Mona Barthel,F,185,75,Germany
8269,"Zhenqi Barthel (Sun-, -Apolnia)",F,164,62,Germany
8270,Yan Barthelem Varela,M,172,48,Cuba
8271,Laure Barthelemy,F,167,60,France
8272,Richard Barthlemy,M,0,0,Italy
8273,Wolfgang Barthels,M,173,71,Germany
8274,Anne-Sophie Barthet,F,170,71,France
8275,"Friedrich Carl ""Fritz"" Bartholomae",M,0,0,Berliner Ruderverein von 1876-2
8276,Willi Bartholomae,M,0,0,Berliner Ruderverein von 1876-2
8277,"William August Bartholomae, Jr.",M,0,0,Mystery
8278,Nathan Bartholomay,M,175,81,United States-2
8279,Bruno Martin Ernst Arthur Bartholome,M,163,48,Germany
8280,"Robert Raymond ""Bart"" Bartholomew",M,175,90,United States
8281,Jacinta Bartholomew,F,175,54,Grenada
8282,"Kenneth Eldred ""Ken"" Bartholomew (Bartholomay-)",M,0,0,United States
8283,Trish Bartholomew,F,160,59,Grenada
8284,Anton Barticevic,M,178,80,Chile
8285,Robert Bartko,M,186,80,Germany
8286,Beata Bartkw-Kwiatkowska,F,168,74,Poland
8287,"Francis Anthony ""Frank"" Bartkus",M,0,0,United States
8288,Franz Bartl,M,0,0,Austria
8289,Johann Bartl,M,0,0,Czechoslovakia
8290,Christopher Bartle,M,183,70,Great Britain
8291,Jane Bartle-Wilson,F,163,60,Great Britain
8292,Hotse Sjoerd Durk Bartlema,M,0,0,Netherlands
8293,Charles Henry Bartlett,M,0,0,Great Britain
8294,Henry David Hardington Bartlett,M,0,0,Great Britain
