id,name,sex,height,weight,team
4785,Nobuo Arai,M,0,0,Japan
4786,Riichi Arai,M,0,0,Japan
4787,Ryohei Arai,M,183,96,Japan
4788,Satoru Arai,M,171,67,Japan
4789,Shigeo Arai,M,0,0,Japan
4790,Shu Arai,M,168,65,Japan
4791,Takahiro Arai,M,189,95,Japan
4792,Toru Arai,F,0,0,Japan
4793,Yoshinori Arai,M,178,74,Japan
4794,Yuko Arai,F,160,52,Japan
4795,Miguel Araico lvarez,M,173,0,Mexico
4796,Ronalds Arjs,M,179,82,Latvia
4797,Eriko Arakawa,F,166,57,Japan
4798,Hachiro Arakawa,M,172,64,Japan
4799,Shizuka Arakawa,F,164,50,Japan
4800,Daizou Araki,M,167,57,Japan
4801,Erika Araki,F,186,78,Japan
4802,Kumi Araki,F,153,40,Japan
4803,Masahiro Araki,M,180,74,Japan
4804,Miharu Araki,F,161,49,Japan
4805,Nobuhiro Araki,M,169,72,Japan
4806,Toshiaki Araki,M,175,67,Japan
4807,Yugo Araki,M,171,61,Japan
4808,Yuko Arakida,F,173,67,Japan
4809,Nada Mohammed Wafa S Arakji,F,163,59,Qatar
4810,Carlos Aramayo,M,0,0,Bolivia
4811,Manuel Aramayo,M,0,0,Bolivia
4812,Zlatko Arambasic,M,178,0,Australia
4813,Izaskun Aramburu Balda,F,170,66,Spain
4814,Juan Jos Aramburu Amorena,M,170,83,Spain
4815,Joseph Arame,M,190,87,France
4816,Zuleima Aramendiz Meja,F,172,85,Colombia
4817,Gary Aramist,M,167,63,Israel
4818,Zoe Arancini,F,170,70,Australia
4819,Gilda Aranda Rojas,F,0,0,Mexico
4820,Fidel Humberto Aranda Snchez,M,172,67,Costa Rica
4821,Idalberto Aranda Quintero,M,160,73.5,Cuba
4822,Luis Ramn Aranda,M,175,57,Argentina
4823,Ricardo Anibal Araneda Aviles,M,186,75,Chile
4824,"Manuel Araneta, Jr.",M,185,0,Philippines
4825,Zavana Aranga,F,169,75,New Zealand
4826,Alfredo Arango Narvez,M,170,65,Colombia
4827,Juan Esteban Arango Carvajal,M,172,62,Colombia
4828,Julio Arango Pagnamenta,M,173,68,Colombia
4829,Mnica Sarai Arango Estrada,F,165,60,Colombia
4830,Oscar Arango,M,171,65,Colombia
4831,Rogelio Arango E.,M,170,0,Colombia
4832,Luis Aranguren,M,0,0,Venezuela
4833,Jos Roberto Diiz Aranha,M,191,82,Brazil
4834,Krystian Aranowski,M,198,102,Poland
4835,Joana Isabel Raposo Ramos Arantes,F,162,57,Portugal
4836,Marcos Alves Arantes,M,194,90,Brazil
4837,Rmulo Duncan Arantes Filho,M,185,75,Brazil
4838,Istvn Aranyos,M,169,63,Hungary
4839,Agustn Aranzbal Alkorta,M,186,78,Spain
